GDACS_ID,country,iso3,continent,country_lonlat,iso3_lonlat,continent_lonlat,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,validation_errors
FL-1103011,Haiti,HTI,North America,,,,1103011,Green,1,2024-11-10T01:00:00,2024-11-15T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103011&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103011&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103011,"{'type': 'Point', 'coordinates': [-73.6078079825226, 18.08301135]}",['country_mismatch']
FL-1103013,Thailand,THA,Asia,Malaysia,MYS,Asia,1103013,Green,1,2024-11-12T01:00:00,2024-11-14T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103013&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103013&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103013,"{'type': 'Point', 'coordinates': [101.070022, 5.7734904]}",['country_mismatch']
FL-1103003,Italy,ITA,Europe,,,,1103003,Green,1,2024-11-08T01:00:00,2024-11-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103003&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1103003&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103003,"{'type': 'Point', 'coordinates': [9.5027442, 40.9232659]}",['country_mismatch']
FL-1103009,Grenada,GRD,North America,Trinidad and Tobago,TTO,North America,1103009,Green,1,2024-11-10T01:00:00,2024-11-12T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103009&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103009&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103009,"{'type': 'Point', 'coordinates': [-61.0840075, 10.7466905]}",['country_mismatch']
FL-1102998,Philippines,PHL,Asia,,,,1102998,Orange,2,2024-11-07T01:00:00,2024-11-12T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102998&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102998&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102998,"{'type': 'Point', 'coordinates': [122.7312101, 12.7503486]}",['country_mismatch']
FL-1102990,United States,USA,North America,United States of America,US1,North America,1102990,Green,1,2024-11-04T01:00:00,2024-11-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102990&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102990&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102990,"{'type': 'Point', 'coordinates': [-80.8556476, 33.4918203]}",['country_mismatch']
FL-1102994,Portugal,PRT,Europe,,,,1102994,Green,1,2024-11-02T01:00:00,2024-11-05T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102994&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102994&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102994,"{'type': 'Point', 'coordinates': [-25.6689503, 37.7393398]}",['country_mismatch']
FL-1103061,Greece,GRC,Europe,,,,1103061,Green,1,2024-12-25T01:00:00,2024-12-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103061&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103061&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103061,"{'type': 'Point', 'coordinates': [23.9110843991379, 38.49417235]}",['country_mismatch']
FL-1103064,Haiti,HTI,North America,,,,1103064,Green,1,2024-12-22T01:00:00,2024-12-24T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103064&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103064&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103064,"{'type': 'Point', 'coordinates': [-72.8308129, 19.9389855]}",['country_mismatch']
FL-1103058,Türkiye,TUR,Asia,Turkey,TUR,Asia,1103058,Green,1,2024-12-21T01:00:00,2024-12-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103058&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103058&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103058,"{'type': 'Point', 'coordinates': [30.7030242, 36.8865728]}",['country_mismatch']
FL-1103051,Maldives,MDV,Asia,,,,1103051,Green,1,2024-12-17T01:00:00,2024-12-19T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103051&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103051&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103051,"{'type': 'Point', 'coordinates': [73.3929951758978, 5.96771525]}",['country_mismatch']
FL-1103039,Italy,ITA,Europe,,,,1103039,Green,1,2024-12-07T01:00:00,2024-12-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103039&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1103039&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103039,"{'type': 'Point', 'coordinates': [17.9454957, 40.6375408]}",['country_mismatch']
FL-1103045,United States,USA,North America,United States of America,US1,North America,1103045,Green,1,2024-12-11T01:00:00,2024-12-15T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103045&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1103045&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103045,"{'type': 'Point', 'coordinates': [-122.5449763, 37.9060368]}",['country_mismatch']
FL-1103041,Türkiye,TUR,Asia,Turkey,TUR,Asia,1103041,Green,1,2024-12-08T01:00:00,2024-12-10T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103041&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1103041&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103041,"{'type': 'Point', 'coordinates': [41.3093534, 41.3520702]}",['country_mismatch']
FL-1103124,Democratic Republic of Congo,COD,Africa,Democratic Republic of the Congo,COD,Africa,1103124,Green,1,2025-02-01T01:00:00,2025-02-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103124&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103124&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103124,"{'type': 'Point', 'coordinates': [25.8525231, -9.2020365]}",['country_mismatch']
FL-1103105,Morocco,MAR,Africa,,,,1103105,Green,1,2025-01-29T01:00:00,2025-01-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103105&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103105&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103105,"{'type': 'Point', 'coordinates': [-5.8033522, 35.7696302]}",['country_mismatch']
FL-1103099,Malaysia,MYS,Asia,,,,1103099,Green,1,2025-01-27T01:00:00,2025-01-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103099&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103099&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103099,"{'type': 'Point', 'coordinates': [113.9880199, 4.3940102]}",['country_mismatch']
FL-1103085,Republic of Congo,COG,Africa,Democratic Republic of the Congo,COD,Africa,1103085,Green,1,2025-01-14T01:00:00,2025-01-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103085&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103085&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103085,"{'type': 'Point', 'coordinates': [15.2473633847443, -4.3754721]}",['country_mismatch']
FL-1103084,Thailand,THA,Asia,,,,1103084,Green,1,2025-01-11T01:00:00,2025-01-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103084&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103084&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103084,"{'type': 'Point', 'coordinates': [99.6873516, 9.3131091]}",['country_mismatch']
FL-1103082,France,FRA,Europe,Madagascar,MDG,Africa,1103082,Green,1,2025-01-11T01:00:00,2025-01-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103082&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103082&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103082,"{'type': 'Point', 'coordinates': [46.4416422, -18.9249604]}",['country_mismatch']
FL-1103073,Greece,GRC,Europe,,,,1103073,Green,1,2025-01-04T01:00:00,2025-01-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103073&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103073&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103073,"{'type': 'Point', 'coordinates': [28.044054, 36.1054933]}",['country_mismatch']
FL-1103072,Democratic Republic of Congo,COD,Africa,Democratic Republic of the Congo,COD,Africa,1103072,Green,1,2025-01-03T01:00:00,2025-01-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1103072&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1103072&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1103072,"{'type': 'Point', 'coordinates': [25.9184499, -2.9493766]}",['country_mismatch']
