,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
2082,FL-1101839,SA020M,Argentina,ARG,1101839,Green,1,2023-01-29T01:00:00,2023-02-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101839&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101839&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101839,"{'type': 'Point', 'coordinates': [-67.5970652832092, -30.59774625]}"
2083,FL-1101824,OC020M,Indonesia,IDN,1101824,Green,1,2023-01-21T01:00:00,2023-02-06T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101824&episodeid=5,https://www.gdacs.org/report.aspx?eventid=1101824&episodeid=5&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101824,"{'type': 'Point', 'coordinates': [109.131576585902, -7.05644335]}"
2084,FL-1101840,AF020M,South Africa,ZAF,1101840,Green,1,2023-02-01T01:00:00,2023-02-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101840&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101840&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101840,"{'type': 'Point', 'coordinates': [30.1500153, -26.276849]}"
2085,FL-1101864,AF020M,Burundi,BDI,1101864,Green,1,2023-01-30T01:00:00,2023-02-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101864&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101864&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101864,"{'type': 'Point', 'coordinates': [29.9324519, -3.426449]}"
2086,FL-1101843,AS020M,India,IND,1101843,Green,1,2023-02-01T01:00:00,2023-02-03T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101843&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101843&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101843,"{'type': 'Point', 'coordinates': [80.8145347, 9.2698532]}"
2087,FL-1101857,AF020M,Central African Republic,CAF,1101857,Green,1,2023-01-27T01:00:00,2023-02-01T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101857&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101857&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101857,"{'type': 'Point', 'coordinates': [15.8671403, 4.5662762]}"
2088,FL-1101836,OC020M,New Zealand,NZL,1101836,Green,1,2023-01-27T01:00:00,2023-01-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101836&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101836&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101836,"{'type': 'Point', 'coordinates': [174.646785, -36.8969431]}"
2089,FL-1101816,AF020M,France,FRA,1101816,Green,1,2023-01-14T01:00:00,2023-01-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101816&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1101816&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101816,"{'type': 'Point', 'coordinates': [55.551734, -20.8968602]}"
2090,FL-1101831,EU020M,Italy,ITA,1101831,Green,1,2023-01-22T01:00:00,2023-01-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101831&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1101831&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101831,"{'type': 'Point', 'coordinates': [16.4162585, 41.275088]}"
2091,FL-1101844,OC020M,Indonesia,IDN,1101844,Green,1,2023-01-24T01:00:00,2023-01-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1101844&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1101844&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1101844,"{'type': 'Point', 'coordinates': [108.225961557912, -6.83579405]}"
